Username,Document Name,Audio Duration,Audio Size,Date
Cristian M G,nota_voz,3,0.07 MB,25-03-2024 14:28
Cristian M G,nota_voz,4,0.09 MB,25-03-2024 14:35
Cristian M G,nota_voz,5,0.12 MB,25-03-2024 14:43
Cristian M G,Profesor_Carlos Ariatizabal.mp3,243,1.85 MB,30-03-2024 14:26
Cristian M G,nota_voz,4,0.09 MB,26-05-2024 23:28
Cristian M G,nota_voz,111,0.24 MB,05-06-2024 14:59
Cristian M G,nota_voz,111,0.24 MB,05-06-2024 15:00
Cristian M G,Profesor_Carlos Ariatizabal.mp3,243,1.85 MB,05-06-2024 15:01
Cristian M G,prueba _transcriptor (online-audio-converter.com).mp3,731,11.16 MB,05-06-2024 17:19
